disease_uid1	disease_uid2	shared_genes_count	associated_genes_disease1	associated_genes_disease2	pct1	pct2
AID00017	AID00022	149	876	262	17.0091	56.8702
AID00017	AID00023	229	876	469	26.1416	48.8273
AID00017	AID00024	27	876	43	3.08219	62.7907
AID00017	AID00025	123	876	257	14.0411	47.8599
AID00017	AID00026	36	876	48	4.10959	75
AID00017	AID00028	113	876	226	12.8995	50
AID00017	AID00029	21	876	50	2.39726	42
AID00017	AID00030	276	876	843	31.5068	32.7402
AID00017	AID00031	10	876	31	1.14155	32.2581
AID00017	AID00032	88	876	124	10.0457	70.9677
AID00017	AID00033	72	876	96	8.21918	75
AID00017	AID00034	6	876	9	0.684932	66.6667
AID00017	AID00035	10	876	23	1.14155	43.4783
AID00017	AID00036	57	876	105	6.50685	54.2857
AID00017	AID00037	17	876	26	1.94064	65.3846
AID00017	AID00038	73	876	217	8.33333	33.6406
AID00017	AID00039	18	876	73	2.05479	24.6575
AID00017	AID00041	98	876	475	11.1872	20.6316
AID00017	AID00043	6	876	14	0.684932	42.8571
AID00017	AID00044	3	876	15	0.342466	20
AID00017	AID00045	17	876	25	1.94064	68
AID00017	AID00046	1	876	2	0.114155	50
AID00017	AID00047	18	876	26	2.05479	69.2308
AID00017	AID00048	6	876	11	0.684932	54.5455
AID00017	AID00049	1	876	12	0.114155	8.33333
AID00017	AID00053	8	876	20	0.913242	40
AID00018	AID00019	15	88	90	16.6667	17.0455
AID00018	AID00020	7	88	103	6.79612	7.95455
AID00018	AID00021	43	88	709	6.06488	48.8636
AID00018	AID00022	36	88	262	13.7405	40.9091
AID00018	AID00023	37	88	469	7.88913	42.0455
AID00018	AID00024	7	88	43	7.95455	16.2791
AID00018	AID00025	25	88	257	9.72763	28.4091
AID00018	AID00026	13	88	48	14.7727	27.0833
AID00018	AID00028	18	88	226	7.9646	20.4545
AID00018	AID00029	6	88	50	6.81818	12
AID00018	AID00030	44	88	843	5.21945	50
AID00018	AID00031	1	88	31	1.13636	3.22581
AID00018	AID00032	11	88	124	8.87097	12.5
AID00018	AID00033	16	88	96	16.6667	18.1818
AID00018	AID00034	3	88	9	3.40909	33.3333
AID00018	AID00035	2	88	23	2.27273	8.69565
AID00018	AID00036	9	88	105	8.57143	10.2273
AID00018	AID00038	24	88	217	11.0599	27.2727
AID00018	AID00039	4	88	73	4.54545	5.47945
AID00018	AID00041	20	88	475	4.21053	22.7273
AID00018	AID00043	1	88	14	1.13636	7.14286
AID00018	AID00045	1	88	25	1.13636	4
AID00018	AID00047	3	88	26	3.40909	11.5385
AID00018	AID00048	3	88	11	3.40909	27.2727
AID00018	AID00053	2	88	20	2.27273	10
AID00019	AID00020	16	90	103	15.534	17.7778
AID00019	AID00021	47	90	709	6.62906	52.2222
AID00019	AID00022	31	90	262	11.8321	34.4444
AID00019	AID00023	41	90	469	8.742	45.5556
AID00019	AID00024	6	90	43	6.66667	13.9535
AID00019	AID00025	32	90	257	12.4514	35.5556
AID00019	AID00026	16	90	48	17.7778	33.3333
AID00019	AID00028	29	90	226	12.8319	32.2222
AID00019	AID00029	9	90	50	10	18
AID00019	AID00030	47	90	843	5.57533	52.2222
AID00019	AID00031	2	90	31	2.22222	6.45161
AID00019	AID00032	23	90	124	18.5484	25.5556
AID00019	AID00033	16	90	96	16.6667	17.7778
AID00019	AID00035	1	90	23	1.11111	4.34783
AID00019	AID00036	20	90	105	19.0476	22.2222
AID00019	AID00037	1	90	26	1.11111	3.84615
AID00019	AID00038	19	90	217	8.75576	21.1111
AID00019	AID00039	5	90	73	5.55556	6.84932
AID00019	AID00041	16	90	475	3.36842	17.7778
AID00019	AID00043	1	90	14	1.11111	7.14286
AID00019	AID00044	1	90	15	1.11111	6.66667
AID00019	AID00045	5	90	25	5.55556	20
AID00019	AID00047	4	90	26	4.44444	15.3846
AID00019	AID00048	1	90	11	1.11111	9.09091
AID00019	AID00053	2	90	20	2.22222	10
AID00020	AID00021	34	103	709	4.79549	33.0097
AID00020	AID00022	27	103	262	10.3053	26.2136
AID00020	AID00023	34	103	469	7.24947	33.0097
AID00020	AID00024	5	103	43	4.85437	11.6279
AID00020	AID00025	20	103	257	7.7821	19.4175
AID00020	AID00026	13	103	48	12.6214	27.0833
AID00020	AID00028	18	103	226	7.9646	17.4757
AID00020	AID00029	7	103	50	6.79612	14
AID00020	AID00030	33	103	843	3.91459	32.0388
AID00020	AID00031	3	103	31	2.91262	9.67742
AID00020	AID00032	12	103	124	9.67742	11.6505
AID00020	AID00033	11	103	96	10.6796	11.4583
AID00020	AID00034	1	103	9	0.970874	11.1111
AID00020	AID00036	12	103	105	11.4286	11.6505
AID00020	AID00037	1	103	26	0.970874	3.84615
AID00020	AID00038	14	103	217	6.45161	13.5922
AID00020	AID00039	2	103	73	1.94175	2.73973
AID00020	AID00041	25	103	475	5.26316	24.2718
AID00020	AID00043	3	103	14	2.91262	21.4286
AID00020	AID00044	1	103	15	0.970874	6.66667
AID00020	AID00045	1	103	25	0.970874	4
AID00020	AID00047	4	103	26	3.8835	15.3846
AID00020	AID00053	3	103	20	2.91262	15
AID00021	AID00022	149	709	262	21.0155	56.8702
AID00021	AID00023	202	709	469	28.4908	43.0704
AID00021	AID00024	22	709	43	3.10296	51.1628
AID00021	AID00025	126	709	257	17.7715	49.0272
AID00021	AID00026	32	709	48	4.5134	66.6667
AID00021	AID00028	101	709	226	14.2454	44.6903
AID00021	AID00029	19	709	50	2.67983	38
AID00021	AID00030	269	709	843	31.9098	37.9408
AID00021	AID00031	8	709	31	1.12835	25.8065
AID00021	AID00032	63	709	124	8.88575	50.8064
AID00021	AID00033	51	709	96	7.19323	53.125
AID00021	AID00034	4	709	9	0.564175	44.4444
AID00021	AID00035	7	709	23	0.987306	30.4348
AID00021	AID00036	45	709	105	6.34697	42.8571
AID00021	AID00037	11	709	26	1.55148	42.3077
AID00021	AID00038	68	709	217	9.59097	31.3364
AID00021	AID00039	30	709	73	4.23131	41.0959
AID00021	AID00041	91	709	475	12.835	19.1579
AID00021	AID00043	3	709	14	0.423131	21.4286
AID00021	AID00044	4	709	15	0.564175	26.6667
AID00021	AID00045	10	709	25	1.41044	40
AID00021	AID00046	1	709	2	0.141044	50
AID00021	AID00047	10	709	26	1.41044	38.4615
AID00021	AID00048	3	709	11	0.423131	27.2727
AID00021	AID00049	1	709	12	0.141044	8.33333
AID00021	AID00053	8	709	20	1.12835	40
AID00022	AID00023	113	262	469	24.0938	43.1298
AID00022	AID00024	15	262	43	5.72519	34.8837
AID00022	AID00025	73	262	257	27.8626	28.4047
AID00022	AID00026	25	262	48	9.54198	52.0833
AID00022	AID00028	68	262	226	25.9542	30.0885
AID00022	AID00029	14	262	50	5.34351	28
AID00022	AID00030	146	262	843	17.3191	55.7252
AID00022	AID00031	6	262	31	2.29008	19.3548
AID00022	AID00032	39	262	124	14.8855	31.4516
AID00022	AID00033	39	262	96	14.8855	40.625
AID00022	AID00034	3	262	9	1.14504	33.3333
AID00022	AID00035	2	262	23	0.763359	8.69565
AID00022	AID00036	39	262	105	14.8855	37.1429
AID00022	AID00037	10	262	26	3.81679	38.4615
AID00022	AID00038	48	262	217	18.3206	22.1198
AID00022	AID00039	12	262	73	4.58015	16.4384
AID00022	AID00041	49	262	475	10.3158	18.7023
AID00022	AID00043	4	262	14	1.52672	28.5714
AID00022	AID00044	3	262	15	1.14504	20
AID00022	AID00045	11	262	25	4.19847	44
AID00022	AID00047	12	262	26	4.58015	46.1538
AID00022	AID00048	3	262	11	1.14504	27.2727
AID00022	AID00049	1	262	12	0.381679	8.33333
AID00022	AID00053	7	262	20	2.67176	35
AID00023	AID00024	18	469	43	3.83795	41.8605
AID00023	AID00025	83	469	257	17.6972	32.2957
AID00023	AID00026	29	469	48	6.18337	60.4167
AID00023	AID00028	77	469	226	16.4179	34.0708
AID00023	AID00029	16	469	50	3.41151	32
AID00023	AID00030	201	469	843	23.8434	42.8571
AID00023	AID00031	4	469	31	0.852878	12.9032
AID00023	AID00032	53	469	124	11.3006	42.7419
AID00023	AID00033	52	469	96	11.0874	54.1667
AID00023	AID00034	5	469	9	1.0661	55.5556
AID00023	AID00035	7	469	23	1.49254	30.4348
AID00023	AID00036	43	469	105	9.16844	40.9524
AID00023	AID00037	14	469	26	2.98507	53.8462
AID00023	AID00038	54	469	217	11.5139	24.8848
AID00023	AID00039	15	469	73	3.19829	20.5479
AID00023	AID00041	65	469	475	13.6842	13.8593
AID00023	AID00043	5	469	14	1.0661	35.7143
AID00023	AID00044	3	469	15	0.639659	20
AID00023	AID00045	7	469	25	1.49254	28
AID00023	AID00046	1	469	2	0.21322	50
AID00023	AID00047	7	469	26	1.49254	26.9231
AID00023	AID00048	3	469	11	0.639659	27.2727
AID00023	AID00049	1	469	12	0.21322	8.33333
AID00023	AID00053	8	469	20	1.70576	40
AID00024	AID00025	16	43	257	6.22568	37.2093
AID00024	AID00026	6	43	48	12.5	13.9535
AID00024	AID00028	14	43	226	6.19469	32.5581
AID00024	AID00029	3	43	50	6	6.97674
AID00024	AID00030	18	43	843	2.13523	41.8605
AID00024	AID00031	1	43	31	2.32558	3.22581
AID00024	AID00032	13	43	124	10.4839	30.2326
AID00024	AID00033	9	43	96	9.375	20.9302
AID00024	AID00035	2	43	23	4.65116	8.69565
AID00024	AID00036	9	43	105	8.57143	20.9302
AID00024	AID00038	9	43	217	4.14747	20.9302
AID00024	AID00039	2	43	73	2.73973	4.65116
AID00024	AID00041	7	43	475	1.47368	16.2791
AID00024	AID00043	1	43	14	2.32558	7.14286
AID00024	AID00044	1	43	15	2.32558	6.66667
AID00024	AID00047	2	43	26	4.65116	7.69231
AID00024	AID00053	1	43	20	2.32558	5
AID00025	AID00026	26	257	48	10.1167	54.1667
AID00025	AID00028	56	257	226	21.7899	24.7788
AID00025	AID00029	18	257	50	7.00389	36
AID00025	AID00030	110	257	843	13.0486	42.8016
AID00025	AID00031	8	257	31	3.11284	25.8065
AID00025	AID00032	49	257	124	19.0661	39.5161
AID00025	AID00033	32	257	96	12.4514	33.3333
AID00025	AID00034	4	257	9	1.55642	44.4444
AID00025	AID00035	3	257	23	1.16732	13.0435
AID00025	AID00036	30	257	105	11.6732	28.5714
AID00025	AID00037	5	257	26	1.94553	19.2308
AID00025	AID00038	45	257	217	17.5097	20.7373
AID00025	AID00039	10	257	73	3.89105	13.6986
AID00025	AID00041	31	257	475	6.52632	12.0623
AID00025	AID00043	3	257	14	1.16732	21.4286
AID00025	AID00044	2	257	15	0.77821	13.3333
AID00025	AID00045	8	257	25	3.11284	32
AID00025	AID00047	9	257	26	3.50195	34.6154
AID00025	AID00048	1	257	11	0.389105	9.09091
AID00025	AID00053	3	257	20	1.16732	15
AID00026	AID00028	18	48	226	7.9646	37.5
AID00026	AID00029	4	48	50	8	8.33333
AID00026	AID00030	32	48	843	3.79597	66.6667
AID00026	AID00031	1	48	31	2.08333	3.22581
AID00026	AID00032	19	48	124	15.3226	39.5833
AID00026	AID00033	14	48	96	14.5833	29.1667
AID00026	AID00034	1	48	9	2.08333	11.1111
AID00026	AID00035	1	48	23	2.08333	4.34783
AID00026	AID00036	14	48	105	13.3333	29.1667
AID00026	AID00037	2	48	26	4.16667	7.69231
AID00026	AID00038	19	48	217	8.75576	39.5833
AID00026	AID00039	2	48	73	2.73973	4.16667
AID00026	AID00041	12	48	475	2.52632	25
AID00026	AID00043	1	48	14	2.08333	7.14286
AID00026	AID00045	2	48	25	4.16667	8
AID00026	AID00047	3	48	26	6.25	11.5385
AID00026	AID00048	1	48	11	2.08333	9.09091
AID00026	AID00053	1	48	20	2.08333	5
AID00028	AID00029	13	226	50	5.75221	26
AID00028	AID00030	90	226	843	10.6762	39.823
AID00028	AID00031	4	226	31	1.76991	12.9032
AID00028	AID00032	31	226	124	13.7168	25
AID00028	AID00033	27	226	96	11.9469	28.125
AID00028	AID00034	1	226	9	0.442478	11.1111
AID00028	AID00035	4	226	23	1.76991	17.3913
AID00028	AID00036	35	226	105	15.4867	33.3333
AID00028	AID00037	8	226	26	3.53982	30.7692
AID00028	AID00038	29	226	217	12.8319	13.3641
AID00028	AID00039	8	226	73	3.53982	10.9589
AID00028	AID00041	39	226	475	8.21053	17.2566
AID00028	AID00043	3	226	14	1.32743	21.4286
AID00028	AID00044	4	226	15	1.76991	26.6667
AID00028	AID00045	6	226	25	2.65487	24
AID00028	AID00046	2	226	2	0.884956	100
AID00028	AID00047	8	226	26	3.53982	30.7692
AID00028	AID00048	1	226	11	0.442478	9.09091
AID00028	AID00049	2	226	12	0.884956	16.6667
AID00028	AID00053	3	226	20	1.32743	15
AID00029	AID00030	28	50	843	3.32147	56
AID00029	AID00031	2	50	31	4	6.45161
AID00029	AID00032	7	50	124	5.64516	14
AID00029	AID00033	8	50	96	8.33333	16
AID00029	AID00036	6	50	105	5.71429	12
AID00029	AID00038	10	50	217	4.60829	20
AID00029	AID00039	1	50	73	1.36986	2
AID00029	AID00041	4	50	475	0.842105	8
AID00029	AID00043	1	50	14	2	7.14286
AID00029	AID00045	4	50	25	8	16
AID00029	AID00047	2	50	26	4	7.69231
AID00029	AID00048	1	50	11	2	9.09091
AID00029	AID00053	1	50	20	2	5
AID00030	AID00031	9	843	31	1.06762	29.0323
AID00030	AID00032	73	843	124	8.65955	58.871
AID00030	AID00033	60	843	96	7.11744	62.5
AID00030	AID00034	5	843	9	0.59312	55.5556
AID00030	AID00035	10	843	23	1.18624	43.4783
AID00030	AID00036	49	843	105	5.81257	46.6667
AID00030	AID00037	10	843	26	1.18624	38.4615
AID00030	AID00038	63	843	217	7.47331	29.0323
AID00030	AID00039	20	843	73	2.37248	27.3973
AID00030	AID00041	83	843	475	9.84579	17.4737
AID00030	AID00043	4	843	14	0.474496	28.5714
AID00030	AID00044	3	843	15	0.355872	20
AID00030	AID00045	14	843	25	1.66074	56
AID00030	AID00047	19	843	26	2.25386	73.0769
AID00030	AID00048	4	843	11	0.474496	36.3636
AID00030	AID00049	1	843	12	0.118624	8.33333
AID00030	AID00053	9	843	20	1.06762	45
AID00031	AID00032	3	31	124	2.41935	9.67742
AID00031	AID00033	1	31	96	1.04167	3.22581
AID00031	AID00035	3	31	23	9.67742	13.0435
AID00031	AID00036	1	31	105	0.952381	3.22581
AID00031	AID00038	2	31	217	0.921659	6.45161
AID00031	AID00039	1	31	73	1.36986	3.22581
AID00031	AID00041	1	31	475	0.210526	3.22581
AID00031	AID00045	1	31	25	3.22581	4
AID00031	AID00047	1	31	26	3.22581	3.84615
AID00032	AID00033	24	124	96	19.3548	25
AID00032	AID00035	2	124	23	1.6129	8.69565
AID00032	AID00036	28	124	105	22.5806	26.6667
AID00032	AID00037	1	124	26	0.806452	3.84615
AID00032	AID00038	26	124	217	11.9816	20.9677
AID00032	AID00039	6	124	73	4.83871	8.21918
AID00032	AID00041	15	124	475	3.15789	12.0968
AID00032	AID00043	2	124	14	1.6129	14.2857
AID00032	AID00045	4	124	25	3.22581	16
AID00032	AID00047	8	124	26	6.45161	30.7692
AID00032	AID00048	1	124	11	0.806452	9.09091
AID00032	AID00053	1	124	20	0.806452	5
AID00033	AID00034	3	96	9	3.125	33.3333
AID00033	AID00035	1	96	23	1.04167	4.34783
AID00033	AID00036	15	96	105	14.2857	15.625
AID00033	AID00037	8	96	26	8.33333	30.7692
AID00033	AID00038	22	96	217	10.1382	22.9167
AID00033	AID00039	2	96	73	2.08333	2.73973
AID00033	AID00041	15	96	475	3.15789	15.625
AID00033	AID00043	2	96	14	2.08333	14.2857
AID00033	AID00044	1	96	15	1.04167	6.66667
AID00033	AID00045	1	96	25	1.04167	4
AID00033	AID00047	2	96	26	2.08333	7.69231
AID00033	AID00048	4	96	11	4.16667	36.3636
AID00033	AID00049	1	96	12	1.04167	8.33333
AID00033	AID00053	3	96	20	3.125	15
AID00034	AID00036	2	9	105	1.90476	22.2222
AID00034	AID00038	1	9	217	0.460829	11.1111
AID00034	AID00039	1	9	73	1.36986	11.1111
AID00034	AID00041	2	9	475	0.421053	22.2222
AID00034	AID00045	1	9	25	4	11.1111
AID00035	AID00036	2	23	105	1.90476	8.69565
AID00035	AID00038	1	23	217	0.460829	4.34783
AID00035	AID00039	2	23	73	2.73973	8.69565
AID00035	AID00041	5	23	475	1.05263	21.7391
AID00035	AID00053	1	23	20	4.34783	5
AID00036	AID00037	2	105	26	1.90476	7.69231
AID00036	AID00038	17	105	217	7.8341	16.1905
AID00036	AID00039	8	105	73	7.61905	10.9589
AID00036	AID00041	17	105	475	3.57895	16.1905
AID00036	AID00043	1	105	14	0.952381	7.14286
AID00036	AID00044	4	105	15	3.80952	26.6667
AID00036	AID00045	6	105	25	5.71429	24
AID00036	AID00047	6	105	26	5.71429	23.0769
AID00036	AID00048	1	105	11	0.952381	9.09091
AID00036	AID00049	1	105	12	0.952381	8.33333
AID00036	AID00053	3	105	20	2.85714	15
AID00037	AID00038	1	26	217	0.460829	3.84615
AID00037	AID00039	1	26	73	1.36986	3.84615
AID00037	AID00041	5	26	475	1.05263	19.2308
AID00037	AID00043	1	26	14	3.84615	7.14286
AID00038	AID00039	7	217	73	3.22581	9.58904
AID00038	AID00041	20	217	475	4.21053	9.21659
AID00038	AID00043	1	217	14	0.460829	7.14286
AID00038	AID00045	3	217	25	1.38249	12
AID00038	AID00046	1	217	2	0.460829	50
AID00038	AID00047	6	217	26	2.76498	23.0769
AID00038	AID00048	4	217	11	1.84332	36.3636
AID00038	AID00053	2	217	20	0.921659	10
AID00039	AID00041	3	73	475	0.631579	4.10959
AID00039	AID00047	1	73	26	1.36986	3.84615
AID00041	AID00043	2	475	14	0.421053	14.2857
AID00041	AID00045	6	475	25	1.26316	24
AID00041	AID00047	5	475	26	1.05263	19.2308
AID00041	AID00048	1	475	11	0.210526	9.09091
AID00041	AID00049	2	475	12	0.421053	16.6667
AID00041	AID00053	8	475	20	1.68421	40
AID00043	AID00047	2	14	26	7.69231	14.2857
AID00043	AID00053	1	14	20	5	7.14286
AID00044	AID00046	1	15	2	6.66667	50
AID00045	AID00047	10	25	26	38.4615	40
AID00047	AID00048	1	26	11	3.84615	9.09091
AID00047	AID00053	1	26	20	3.84615	5
AID00049	AID00053	1	12	20	5	8.33333
